short_name,long_name
Abiskomy,Abiskomyia
Ablabesm,Ablabesmyia (includes Monopelopia)
Acamptoc,Acamptocladius
Allopsec,Psectrocladius (Allopsectrocladius) flavus-type
Brillia ,Brillia
Bryophae,Bryophaenocladius/Gymnometriocnemus
C.obnixu,Cricotopus obnixus-type
C.trifas,Cricotopus trifascia-type
Chaetocl,Chaeotocladius
Chir.ant,Chironomus anthracinus-type
Chir.plu,Chironomus plumosus-type
Cladopel,Cladopelma
Cladot  ,Cladotanytarsus mancus-type
Cory.amb,Corynocera ambigua
Cory.arc,Corynoneura arctica-type
Cory.cor,Corynoeura coronata-type
Cory.edw,Corynoneura edwardsi-type
Cory.lob,Corynoneura lobata-type
Cory.oli,Corynocera oliveri
Coryno.A,Corynoneura type A
Cric.292,Cricotopus intersectus/laricomalis-type
Cric.cyl,Cricotopus cylindraceus-type
Cric.ind,Cricotopus spp.
Cric.syl,Cricotopus sylvestris-type
Cric.tri,Cricotopus trifasciatus-type
Crico.C ,Cricotopus type C
Crico.P ,Cricotopus type P
CriOrtA ,Orthocladiinae (Cricotopus/Orthocladius?) type A
Cryptoch,Cryptochironomus/Demicryptochironomus
Cryptote,Cryptotendipes
D.bertra,Diamesa bertrami-type
Diam.abe,Diamesa aberrata-type
Diamesa ,Diamesa
Dicroten,Dicrotendipes
Diplocla,Diplocladius
Einfeldi,Einfeldia
Endo.alb,Endochironomus albipennis-type
Endo.imp,Endochironomus impar-type
Endo.ten,Endochironomus tendens-type
Euki.dev,Eukiefferiella devonica-type
Eukieffe,Eukiefferiella spp.
Euorthoc,Orthocladius (Euorthocladius) rivulorum-type
Georthoc,Georthocladius
Glyptote,Glyptotendipes
Guttipel,Guttipelopia
H-tanyta,Heterotanytarsus apicalis
Heleniel,Heleniella
Hete.bru,Heterotrissocladius maeaeri-type
Hete.gri,Heterotrissocladius grimshawi-type
Hete.mar,Heterotrissocladius marcidus-type
Hete.sub,Heterotrissocladius subpilosus-type
Hydr.con,Hydrobaenus conformis-type
Hydr.joh,Hydrobaenus johanseni-type
Hydr.lug,Hydrobaenus lugubris-type
HydrobaX,Hydrobaenus spp.
Kiefferu,Kiefferulus-type
Krenopel,Krenopelopia
Krenosmi,Krenosmittia
Labrundi,Labrundinia
Lauterbo,Lauterborniella/Zavreliella
Limnophy,Limnophyes/Paralimnophyes
MApDerPs,Macropelopia/Apsectrotanypus/Derotanypus/Psectrotanypus
Mesocric,Mesocricotopus
Mesopsec,Psectrocladius (Mesopsectrocladius) barbatipes-type
Metr.eur,Metriocnemus eurynotus-type
Metr.fus,Metriocnemus fuscipes-type
Micr.ped,Microtendipes
Micro.in,Micropsectra insignilobus/contracta-type
Micro.P ,Micropsectra type P
Micro.pa,Microspectra pallidula-type
Micro.ra,Micropsectra radialis-type
Microchi,Microchironomus
Monodiam,Monodiamesa
Nano.bra,Nanocladius (Plecopterocanthus) branchicolus-type
Nano.rec,Nanocladius (Nanocladius) rectinervis-type
Natarsia,Natarsia
Nilotany,Nilotanypus
O-ius   ,Orthocladius-type
Omisus  ,Omisus
Orth.oli,Orthocladius oliveri-type
Orth.S  ,Orthocladius type S
Orth.tri,Orthocladius trigonolabris-type
P.albima,Paratendipes albimanus-type
P.gracil,Parakiefferiella gracillima-type
P.psilop,Psectrocladius psilopterus-type
P.vitios,Parachironomus vitiosus-type
Pagastie,Pagastiella
Para.aus,Paratanytarsus austriacus-type
Para.bat,Parakiefferiella bathophila-type
Para.cor,Parakiefferiella coronata-type
Para.nig,Parakiefferiella nigra-type
Para.nud,Paratendipes nudisquama-type
Para.pen,Paratanytarsus penicillatus-type
Para.tri,Parakiefferiella fennica-type
Para.var,Parachironomus varus-type
Parachae,Parachaetocladius-type
Paraclad,Paracladius
Paraclop,Paracladopelma
Paracric,Paracricotopus
Parak.A ,Parakiefferiella type A 
Parameri,Paramerina
Paraphae,Parametriocnemus/Paraphaenocladius
Parasmit,Parasmittia-type
Paro.kie,Parochlus kiefferulus
Parortho,Parorthocladius
Phae.fla,Phaenopsectra flavipes-type
Phaen.A ,Phaenopsectra type A/Tribelos
Pogonocl,Orthocladius (Pogonocladius) consobrinus-type
Poly.con,Polypedilum convictum-type
Poly.nub,Polypedilum nubeculosum-type
Poly.sor,Polypedilum sordens-type
Procladi,Procladius
Prodiame,Prodiamesa
Props.N ,Propsilocerus type N
Protanyp,Protanypus
Psec.sep,Psectrocladius septentrionalis-type
Psec.sor,Psectrocladius sordidellus-type
Pseudoch,Pseudochironomus
Pseudodi,Pseudodiamesa
Pseudort,Pseudorthocladius
Pseudosm,Pseudosmittia
Rheo.cha,Rheocricotopus chalybeatus-type
Rheo.eff,Rheocricotopus effusus-type
Rheo.fus,Rheocricotopus fuscipes-type
Rheotany,Rheotanytarsus
S.longiv,Sergentia longiventris-type
S.rosens,Stictochironomus rosenschoeldi-type
Sergenti,Sergentia coracina-type
Smittia ,Smittia
St-nella,Stempellinella/Zavrelia
Stempell,Stempellina-type
Stenochi,Stenochironomus
Sticto.A,Stictochironomus type A
Stilocla,Stilocladius
Symposio,Symposiocladius
Synortho,Synorthocladius
T.lactes,Tanytarsus lactescens-type
T.nemo  ,Tanytarsus nemorosus-type
Tany.chi,Tanytarsus chinyensis-type
Tany.gla,Tanytarsus glabrescens-type
Tany.lu2,Tanytarsus lugens-type2
Tany.lug,Tanytarsus lugens-type
Tany.men,Tanytarsus mendax-type
Tany.pal,Tanytarsus pallidicornis-type (includes both type 1 and 2)
Tanypus ,Tanypus
Th-myia ,Thienemannimyia-type
Thie.cla,Thienemanniella
Thien.E ,Thienemanniella type E
Tvetenia,Tvetenia-type
Xenochir,Xenochironomus
Zalu.zal,Zalutschia zalutschicola
Zalut.A ,Zalutschia type A
Zalut.B ,Zalutschia type B
Zavrelim,Zavrelimyia
